TIMESTAMP,_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,createdAt,updatedAt,__v,SLBMH_TOT_VAL,VWAP,mTIMESTAMP,CA,EMA_12,EMA_26,MACD,Signal_Line,20_MA,20_STD,Upper_Band,Lower_Band,Time,Price,Signal,Entry_Price,Profit_Loss,Cumulative_Profit_Loss
25-01-13,641e9d4f4438f60007b4d173,RELIANCE,EQ,N,917.35,905.1,916.25,912.2,911,915.55,3220389,2931351607,955,673.05,113798,INE002A01018,25-01-13,2023-03-25T07:05:51.940Z,2023-03-25T07:05:51.940Z,0,,910.25,25-Jan-13,,912.2,912.2,0,0,,,,,,,,,,
24-01-13,641e9d4528313b0007cbe7f4,RELIANCE,EQ,N,928.35,907,925,915.55,918,923.05,3071712,2813581980,955,673.05,86396,INE002A01018,24-01-13,2023-03-25T07:05:41.869Z,2023-03-25T07:05:41.869Z,0,,915.97,24-Jan-13,,912.7153846,912.4481481,0.267236467,0.053447293,,,,,,,,,,
23-01-13,641e9d3b17bd4600074ad49f,RELIANCE,EQ,N,928.8,916.2,922.1,923.05,923.25,920.05,2674869,2466891970,955,673.05,53437,INE002A01018,23-01-13,2023-03-25T07:05:31.747Z,2023-03-25T07:05:31.747Z,0,,922.25,23-Jan-13,,914.3053254,913.2334705,1.071854936,0.257128822,,,,,,,,,,
22-01-13,641e9d313d38840007c5b6f9,RELIANCE,EQ,N,930.7,915.55,920,920.05,921.7,919.95,4266371,3946847007,955,673.05,92922,INE002A01018,22-01-13,2023-03-25T07:05:21.655Z,2023-03-25T07:05:21.655Z,0,,925.11,22-Jan-13,,915.1891215,913.7383986,1.450722911,0.49584764,,,,,,,,,,
21-01-13,641e9d274438f60007b4c9de,RELIANCE,EQ,N,955,918.05,938.1,919.95,919.9,900.2,10047910,9351326004,955,673.05,216013,INE002A01018,21-01-13,2023-03-25T07:05:11.555Z,2023-03-25T07:05:11.555Z,0,,930.67,21-Jan-13,,915.9215644,914.1985172,1.723047132,0.741287538,,,,,,,,,,
18-01-13,641e9d1dde5deb00074b84c8,RELIANCE,EQ,N,902.95,885.65,895,900.2,898,890,5201345,4660332029,902.95,673.05,134895,INE002A01018,18-01-13,2023-03-25T07:05:01.457Z,2023-03-25T07:05:01.457Z,0,,895.99,18-Jan-13,,913.5028622,913.16159,0.341272124,0.661284455,,,,,18-01-13,900.2,Sell,,,
17-01-13,641e9d13ff5c3000070504de,RELIANCE,EQ,N,893.55,859.75,862.1,890,888,861.35,5055697,4446039379,893.55,673.05,127554,INE002A01018,17-01-13,2023-03-25T07:04:51.346Z,2023-03-25T07:04:51.346Z,0,,879.41,17-Jan-13,,909.8870372,911.4459167,-1.558879488,0.217251667,,,,,,,,,,
16-01-13,641e9d093dfde30007cbd28d,RELIANCE,EQ,N,870.9,846.05,846.05,861.35,860,847.15,4469088,3861802789,881.6,673.05,95112,INE002A01018,16-01-13,2023-03-25T07:04:41.251Z,2023-03-25T07:04:41.251Z,0,,864.11,16-Jan-13,,902.4198007,907.7351081,-5.315307337,-0.889260134,,,,,,,,,,
15-01-13,641e9cffd72c3f0007542e18,RELIANCE,EQ,N,851.8,838,846.15,847.15,847.1,847.55,2374487,2005275790,881.6,673.05,88697,INE002A01018,15-01-13,2023-03-25T07:04:31.150Z,2023-03-25T07:04:31.150Z,0,,844.51,15-Jan-13,,893.9167545,903.2473223,-9.33056782,-2.577521671,,,,,,,,,,
14-01-13,641e9cf5341dfa0007d083ba,RELIANCE,EQ,N,853,839,841,847.55,850,839.9,1614000,1362473064,881.6,673.05,64347,INE002A01018,14-01-13,2023-03-25T07:04:21.053Z,2023-03-25T07:04:21.053Z,0,,844.16,14-Jan-13,,886.7834076,899.1215947,-12.33818708,-4.529654754,,,,,,,,,,
11-01-13,641e9ceabe69c00007c2d2dd,RELIANCE,EQ,N,853,836.25,852.5,839.9,838.3,850.05,1840162,1547881061,881.6,673.05,46216,INE002A01018,11-01-13,2023-03-25T07:04:10.942Z,2023-03-25T07:04:10.942Z,0,,841.17,11-Jan-13,,879.5705757,894.7348099,-15.16423423,-6.656570649,,,,,,,,,,
10-01-13,641e9ce0d4c2be000759fa4f,RELIANCE,EQ,N,858.95,847,857.75,850.05,848.15,852.7,2112066,1797734740,881.6,673.05,54778,INE002A01018,10-01-13,2023-03-25T07:04:00.844Z,2023-03-25T07:04:00.844Z,0,,851.17,10-Jan-13,,875.0289486,891.424824,-16.39587534,-8.604431587,,,,,,,,,,
09-01-13,641e9cd63dfde30007cbcab3,RELIANCE,EQ,N,859.85,848.65,852.4,852.7,854.6,850.65,3902332,3335077757,881.6,673.05,56709,INE002A01018,09-01-13,2023-03-25T07:03:50.744Z,2023-03-25T07:03:50.744Z,0,,854.64,09-Jan-13,,871.5937258,888.5563185,-16.96259273,-10.27606382,,,,,,,,,,
08-01-13,641e9cccbe69c00007c2caf6,RELIANCE,EQ,N,858.1,847.9,855.1,850.65,848.95,856.6,3194175,2721909998,881.6,673.05,82769,INE002A01018,08-01-13,2023-03-25T07:03:40.641Z,2023-03-25T07:03:40.641Z,0,,852.15,08-Jan-13,,868.3716141,885.7484431,-17.37682894,-11.69621684,,,,,,,,,,
07-01-13,641e9cc20125d80007461b2c,RELIANCE,EQ,N,871,851.8,865.7,856.6,852,861.85,3498964,3012297918,881.6,673.05,76315,INE002A01018,07-01-13,2023-03-25T07:03:30.540Z,2023-03-25T07:03:30.540Z,0,,860.91,07-Jan-13,,866.5605966,883.5892991,-17.02870257,-12.76271399,,,,,,,,,,
04-01-13,641e9cb80125d80007461336,RELIANCE,EQ,N,864.6,853.55,861.9,861.85,862.65,860.75,3041614,2617050660,881.6,673.05,67079,INE002A01018,04-01-13,2023-03-25T07:03:20.450Z,2023-03-25T07:03:20.450Z,0,,860.42,04-Jan-13,,865.8358894,881.9789807,-16.14309128,-13.43878944,,,,,,,,,,
03-01-13,641e9cae31da23000790f622,RELIANCE,EQ,N,862,844.6,848.6,860.75,860.1,847.95,3946902,3376883367,881.6,673.05,103363,INE002A01018,03-01-13,2023-03-25T07:03:10.357Z,2023-03-25T07:03:10.357Z,0,,855.58,03-Jan-13,,865.0534449,880.4064636,-15.35301871,-13.8216353,,,,,,,,,,
02-01-13,641e9ca45cc9450007c70a69,RELIANCE,EQ,N,856,842.55,844,847.95,844,840.7,3072592,2610048530,881.6,673.05,82129,INE002A01018,02-01-13,2023-03-25T07:03:00.255Z,2023-03-25T07:03:00.255Z,0,,849.46,02-Jan-13,,862.4221457,878.0022811,-15.58013544,-14.17333533,,,,,,,,,,
01-01-13,641e9c9a03c7b100077601ae,RELIANCE,EQ,N,846.6,839.1,844,840.7,840.6,839.55,1561532,1315958207,881.6,673.05,25825,INE002A01018,01-01-13,2023-03-25T07:02:50.156Z,2023-03-25T07:02:50.156Z,0,,842.74,01-Jan-13,,859.0802771,875.2391492,-16.15887207,-14.57044267,,,,,,,,,,
21-02-13,641e9e10341dfa0007d08b33,RELIANCE,EQ,N,876.8,853.65,869,859.2,856,874.8,3706369,3202151449,955,673.05,78597,INE002A01018,21-02-13,2023-03-25T07:09:04.031Z,2023-03-25T07:09:04.031Z,0,,863.96,21-Feb-13,,859.098696,874.051064,-14.95236804,-14.64682775,872.87,30.51212184,933.8942437,811.8457563,,,,,,
20-02-13,641e9e053dfde30007cbda68,RELIANCE,EQ,N,878.85,856.6,857.95,874.8,875.5,848.4,3399774,2957281772,955,673.05,83256,INE002A01018,20-02-13,2023-03-25T07:08:53.888Z,2023-03-25T07:08:53.888Z,0,,869.85,20-Feb-13,,861.5142812,874.1065408,-12.59225954,-14.23591411,871,29.08765338,929.1753068,812.8246932,20-02-13,874.8,Buy,874.8,-2.821595201,-2.821595201
19-02-13,641e9dfb3d38840007c5be88,RELIANCE,EQ,N,855,834.25,849,848.4,854.25,847.5,2212004,1863205014,955,673.05,67628,INE002A01018,19-02-13,2023-03-25T07:08:43.774Z,2023-03-25T07:08:43.774Z,0,,842.32,19-Feb-13,,859.4966995,872.2023526,-12.70565307,-13.9298619,867.6425,27.50726351,922.657027,812.627973,,,,,,
18-02-13,641e9df14334450007b5344f,RELIANCE,EQ,N,854.6,843.2,848,847.5,846.55,845.8,1213793,1031705458,955,673.05,37609,INE002A01018,18-02-13,2023-03-25T07:08:33.662Z,2023-03-25T07:08:33.662Z,0,,849.98,18-Feb-13,,857.6510534,870.3725487,-12.72149525,-13.68818857,863.865,24.52354454,912.9120891,814.8179109,,,,,,
15-02-13,641e9de725e375000786a7c4,RELIANCE,EQ,N,857.4,834.1,854.9,845.8,843.75,856.05,3289431,2776479126,955,673.05,102410,INE002A01018,15-02-13,2023-03-25T07:08:23.568Z,2023-03-25T07:08:23.568Z,0,,844.06,15-Feb-13,,855.8278144,868.5523599,-12.72454545,-13.49545994,860.1525,20.92671093,902.0059219,818.2990781,,,,,,
14-02-13,641e9ddd353f0e0007d1868a,RELIANCE,EQ,N,883.45,851,880,856.05,852.45,879,2808132,2437807681,955,673.05,99837,INE002A01018,14-02-13,2023-03-25T07:08:13.478Z,2023-03-25T07:08:13.478Z,0,,868.12,14-Feb-13,,855.8619968,867.6262592,-11.76426232,-13.14922042,856.9575,15.48776491,887.9330298,825.9819702,,,,,,
13-02-13,641e9dd303c7b100077610d6,RELIANCE,EQ,N,888,872.5,884,879,881.7,875.45,2407720,2123037548,955,673.05,56398,INE002A01018,13-02-13,2023-03-25T07:08:03.373Z,2023-03-25T07:08:03.373Z,0,,881.76,13-Feb-13,,859.4216896,868.4687585,-9.047068849,-12.32879011,855.8975,12.87803592,881.6535718,830.1414282,,,,,,
12-02-13,641e9dc9ff5c300007051415,RELIANCE,EQ,N,880.35,865.2,868.6,875.45,876.5,868.4,2223818,1943460780,955,673.05,72638,INE002A01018,12-02-13,2023-03-25T07:07:53.271Z,2023-03-25T07:07:53.271Z,0,,873.93,12-Feb-13,,861.8875835,868.9858875,-7.098303948,-11.28269287,855.17,11.14442745,877.4588549,832.8811451,,,,,,
